""	"Gene"	"AGI_accession"	"Annotation"	"ProteinType"	"NumberOfDomains"
"2033"	"AT5G25940.1"	"At5g25940"	"putative nodulin-Enod93-type protein"	"membrane protein"	"2"
"2034"	"AT5G26180.1"	"At5g26180"	"putative RNA methyltransferase"	"soluble or peripheral protein"	"0"
"2035"	"AT5G26617.1"	"At5g26617"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2036"	"AT5G26780.1"	"At5g26780"	"serine hydroxymethyltransferase (AtSHM2)"	"soluble or peripheral protein"	"0"
"2037"	"AT5G26800.1"	"At5g26800"	"putative component mS87 of small subunit of mitochondrial ribosome (AtmS87)"	"soluble or peripheral protein"	"0"
"2038"	"AT5G26830.1"	"At5g26830"	"putative threonyl-tRNA synthetase (AtThrRS1)"	"soluble or peripheral protein"	"0"
"2039"	"AT5G26860.1"	"At5g26860"	"putative ATP-dependent Lon-type serine protease (AtLON1)"	"soluble or peripheral protein"	"0"
"2040"	"AT5G26920.1"	"At5g26920"	"putative CBP60 regulatory protein of immune response (AtCBP60g)"	"soluble or peripheral protein"	"0"
"2041"	"AT5G27110.1"	"At5g27110"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"2042"	"AT5G27300.1"	"At5g27300"	"putative (maize RBM48)-like U12-type-intron splicing factor fused to unknown protein"	"soluble or peripheral protein"	"0"
"2043"	"AT5G27395.1"	"At5g27395"	"putative Tim44-type associated component of TIM23 mitochondrial inner membrane..."	"soluble or peripheral protein"	"0"
"2044"	"AT5G27460.1"	"At5g27460"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"2045"	"AT5G27540.1"	"At5g27540"	"mitochondrial-Rho-type GTPase (AtMiro1/AtEmb2473)"	"membrane protein"	"3"
"2046"	"AT5G27660.1"	"At5g27660"	"putative Deg-type protease (AtDeg14/AtPARK13)"	"soluble or peripheral protein"	"0"
"2047"	"AT5G27760.1"	"At5g27760"	"putative mitochondrial respiratory chain complex IV subunit (AtHIGD2/AtCoxX1)"	"membrane protein"	"2"
"2048"	"AT5G27780.1"	"At5g27780"	"putative SAUR-type hormone signal effector (AtSAUR75)"	"soluble or peripheral protein"	"0"
"2049"	"AT5G27820.1"	"At5g27820"	"putative component uL18M of large subunit of mitochondrial ribosome (AtmtRPL18)"	"soluble or peripheral protein"	"0"
"2050"	"AT5G28052.1"	"At5g28052"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2051"	"AT5G28090.1"	"At5g28090"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2052"	"AT5G28237.1"	"At5g28237"	"putative beta subunit of tryptophan synthase"	"soluble or peripheral protein"	"0"
"2053"	"AT5G28370.1"	"At5g28370"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"2054"	"AT5G28410.1"	"At5g28410"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2055"	"AT5G28420.1"	"At5g28420"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2056"	"AT5G28460.1"	"At5g28460"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"2057"	"AT5G28463.1"	"At5g28463"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2058"	"AT5G28590.1"	"At5g28590"	"putative plant-specific AHL clade-B transcription factor"	"soluble or peripheral protein"	"0"
"2059"	"AT5G28810.1"	"At5g28810"	"putative C48-type protease"	"soluble or peripheral protein"	"0"
"2060"	"AT5G28910.1"	"At5g28910"	"protein of unknown function"	"membrane protein"	"2"
"2061"	"AT5G29070.1"	"At5g29070"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2062"	"AT5G29807.1"	"At5g29807"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2063"	"AT5G32470.1"	"At5g32470"	"putative thiamin monophosphate phosphatase (AtTh2/AtTenA1)"	"soluble or peripheral protein"	"0"
"2064"	"AT5G33406.1"	"At5g33406"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2065"	"AT5G35375.1"	"At5g35375"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2066"	"AT5G35475.1"	"At5g35475"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2067"	"AT5G35610.1"	"At5g35610"	"protein of unknown function, contains paired amphipathic helix repeat"	"soluble or peripheral protein"	"0"
"2068"	"AT5G35732.1"	"At5g35732"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2069"	"AT5G35760.1"	"At5g35760"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2070"	"AT5G36280.1"	"At5g36280"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2071"	"AT5G36900.1"	"At5g36900"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2072"	"AT5G36950.1"	"At5g36950"	"putative Deg-type protease (AtDeg10)"	"soluble or peripheral protein"	"0"
"2073"	"AT5G37510.1"	"At5g37510"	"putative 75kDa component of NADH dehydrogenase complex (AtNDUFS10)"	"soluble or peripheral protein"	"0"
"2074"	"AT5G37570.1"	"At5g37570"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"2075"	"AT5G37590.1"	"At5g37590"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2076"	"AT5G37950.1"	"At5g37950"	"UDP-dependent glycosyl transferase (AtUGT76E8)"	"soluble or peripheral protein"	"0"
"2077"	"AT5G37960.1"	"At5g37960"	"putative zinc-dependent dehydrogenase"	"soluble or peripheral protein"	"0"
"2078"	"AT5G38040.1"	"At5g38040"	"UDP-dependent glycosyl transferase (AtUGT76E7)"	"soluble or peripheral protein"	"0"
"2079"	"AT5G38700.1"	"At5g38700"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2080"	"AT5G38710.1"	"At5g38710"	"putative proline dehydrogenase (AtPOX2/AtProDH2)"	"soluble or peripheral protein"	"0"
"2081"	"AT5G38850.1"	"At5g38850"	"putative TNL-type NLR pathogen effector recognition protein (AtMIST1)"	"soluble or peripheral protein"	"0"
"2082"	"AT5G39220.1"	"At5g39220"	"putative alpha/beta-fold-type hydrolase"	"soluble or peripheral protein"	"0"
"2083"	"AT5G39240.1"	"At5g39240"	"putative atypical bHLH-type transcription factor (AtbHLH169)"	"soluble or peripheral protein"	"0"
"2084"	"AT5G39350.1"	"At5g39350"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"2085"	"AT5G39410.1"	"At5g39410"	"putative saccharopine dehydrogenase"	"membrane protein"	"3"
"2086"	"AT5G39430.1"	"At5g39430"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2087"	"AT5G39600.1"	"At5g39600"	"putative component mL53 of large subunit of mitochondrial ribosome (AtmL53)"	"soluble or peripheral protein"	"0"
"2088"	"AT5G39680.1"	"At5g39680"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"2089"	"AT5G39710.1"	"At5g39710"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"2090"	"AT5G39800.1"	"At5g39800"	"putative component mL41 of large subunit of mitochondrial ribosome (AtmL41b)"	"soluble or peripheral protein"	"0"
"2091"	"AT5G39840.1"	"At5g39840"	"putative DExH-box RNA/DNA helicase (AtDexH18/AtSUV3L)"	"soluble or peripheral protein"	"0"
"2092"	"AT5G39900.1"	"At5g39900"	"putative type 1A translation elongation factor"	"soluble or peripheral protein"	"0"
"2093"	"AT5G39940.1"	"At5g39940"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2094"	"AT5G39960.1"	"At5g39960"	"putative (bacteria EngA)-like GTPase (AtEngA-2)"	"soluble or peripheral protein"	"0"
"2095"	"AT5G40080.1"	"At5g40080"	"putative component mL41 of large subunit of mitochondrial ribosome (AtmL41a)"	"soluble or peripheral protein"	"0"
"2096"	"AT5G40280.1"	"At5g40280"	"putative beta subunit of type-I protein farnesyl transferase...(AtFTB/AtERA1/AtWIG/AtMOS8)"	"soluble or peripheral protein"	"0"
"2097"	"AT5G40382.1"	"At5g40382"	"putative COX5c-type component of cytochrome c oxidase complex"	"membrane protein"	"1"
"2098"	"AT5G40400.1"	"At5g40400"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"2099"	"AT5G40610.1"	"At5g40610"	"putative glycerol-3-phosphate dehydrogenase (AtDHAPRD)"	"soluble or peripheral protein"	"0"
"2100"	"AT5G40630.1"	"At5g40630"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2101"	"AT5G40650.1"	"At5g40650"	"iron-sulphur subunit of succinate dehydrogenase complex (AtSDH2-2)"	"soluble or peripheral protein"	"0"
"2102"	"AT5G40660.1"	"At5g40660"	"putative ATP-synthase biogenesis chaperone (AtATP12)"	"soluble or peripheral protein"	"0"
"2103"	"AT5G40680.1"	"At5g40680"	"putative F-BOX substrate adaptor of SCF ubiquitin protein ligase complex"	"soluble or peripheral protein"	"0"
"2104"	"AT5G40720.1"	"At5g40720"	"putative membrane-anchored glycosyltransferase"	"membrane protein"	"1"
"2105"	"AT5G40770.1"	"At5g40770"	"putative type-I (yeast Prohibitin)-like chaperone protein (AtPHB3)"	"soluble or peripheral protein"	"0"
"2106"	"AT5G40810.1"	"At5g40810"	"putative cytochrome c1 component of cyt-bc1 complex (AtCyc1-2)"	"membrane protein"	"2"
"2107"	"AT5G40830.1"	"At5g40830"	"putative methyltransferase"	"membrane protein"	"1"
"2108"	"AT5G40930.1"	"At5g40930"	"putative receptor component of mitochondrial outer membrane translocase...(AtTOM20-4)"	"membrane protein"	"1"
"2109"	"AT5G41130.1"	"At5g41130"	"putative ELT-type acyltransferase (AtELT5)"	"soluble or peripheral protein"	"0"
"2110"	"AT5G41170.1"	"At5g41170"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"2111"	"AT5G41480.1"	"At5g41480"	"putative dihydrofolate synthetase, GLOBULAR ARREST (AtDHFS/AtDFa/AtGLA1)"	"soluble or peripheral protein"	"0"
"2112"	"AT5G41550.1"	"At5g41550"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"2113"	"AT5G41650.1"	"At5g41650"	"putative type-I glyoxalase (AtGLXI-L10/AtGLYI10)"	"soluble or peripheral protein"	"0"
"2114"	"AT5G41660.1"	"At5g41660"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2115"	"AT5G41670.1"	"At5g41670"	"putative 6-phosphogluconate dehydrogenase (AtPGD2)"	"soluble or peripheral protein"	"0"
"2116"	"AT5G41680.1"	"At5g41680"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2117"	"AT5G41685.1"	"At5g41685"	"mitochondrial outer membrane translocase component (AtTOM7-1)"	"membrane protein"	"1"
"2118"	"AT5G41750.1"	"At5g41750"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"2119"	"AT5G41774.1"	"At5g41774"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2120"	"AT5G41940.1"	"At5g41940"	"putative Rab GTPase-activating protein (AtRabGAP20)"	"soluble or peripheral protein"	"0"
"2121"	"AT5G41970.1"	"At5g41970"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2122"	"AT5G42150.1"	"At5g42150"	"putative glutathione S-transferase-like protein"	"membrane protein"	"2"
"2123"	"AT5G42410.1"	"At5g42410"	"putative SAUR-type hormone signal effector (AtSAUR43)"	"soluble or peripheral protein"	"0"
"2124"	"AT5G42450.1"	"At5g42450"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"2125"	"AT5G42610.1"	"At5g42610"	"putative channel component of MCUC calcium uniporter complex (AtMCU5)"	"membrane protein"	"3"
"2126"	"AT5G42655.1"	"At5g42655"	"putative DIRIGENT-type stereoselective coupling control protein"	"soluble or peripheral protein"	"0"
"2127"	"AT5G42670.1"	"At5g42670"	"protein of unknown function, contains Agenet/Tudor domain"	"soluble or peripheral protein"	"0"
"2128"	"AT5G42825.1"	"At5g42825"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2129"	"AT5G42965.1"	"At5g42965"	"putative ribonuclease H"	"soluble or peripheral protein"	"0"
"2130"	"AT5G42990.1"	"At5g42990"	"putative ubiquitin-conjugating E2 protein (AtUBC18)"	"soluble or peripheral protein"	"0"
"2131"	"AT5G43140.1"	"At5g43140"	"putative PMP22/Mpv17-type protein of unknown function"	"membrane protein"	"5"
"2132"	"AT5G43150.1"	"At5g43150"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2133"	"AT5G43190.1"	"At5g43190"	"putative F-BOX substrate adaptor of SCF ubiquitin protein ligase complex"	"soluble or peripheral protein"	"0"
"2134"	"AT5G43430.1"	"At5g43430"	"electron-transfer flavoprotein component of ETF/ETFQO complex (AtETF)"	"soluble or peripheral protein"	"0"
"2135"	"AT5G43790.1"	"At5g43790"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"2136"	"AT5G43820.1"	"At5g43820"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"2137"	"AT5G43880.1"	"At5g43880"	"putative TRM-type microtubule-associated protein-like protein (AtTRM21)"	"soluble or peripheral protein"	"0"
"2138"	"AT5G43970.1"	"At5g43970"	"mitochondrial outer membrane translocase component (AtTOM9-2/AtTOM22-2)"	"membrane protein"	"1"
"2139"	"AT5G44005.1"	"At5g44005"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2140"	"AT5G44060.1"	"At5g44060"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2141"	"AT5G44140.1"	"At5g44140"	"putative type-II (yeast Prohibitin)-like chaperone protein (AtPHB7)"	"soluble or peripheral protein"	"0"
"2142"	"AT5G44220.1"	"At5g44220"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"2143"	"AT5G44330.1"	"At5g44330"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2144"	"AT5G44350.1"	"At5g44350"	"protein of unknown function"	"membrane protein"	"4"
"2145"	"AT5G44480.1"	"At5g44480"	"putative UDP-D-xylose 4-epimerase (AtUXE4/AtDUR)"	"membrane protein"	"2"
"2146"	"AT5G44710.1"	"At5g44710"	"putative component mS33 of small subunit of mitochondrial ribosome (AtmS33)"	"soluble or peripheral protein"	"0"
"2147"	"AT5G44730.1"	"At5g44730"	"putative HAD-type hydrolase"	"soluble or peripheral protein"	"0"
"2148"	"AT5G44780.1"	"At5g44780"	"putative organellar RNA editing factor protein (AtMORF4/AtRIP4)"	"soluble or peripheral protein"	"0"
"2149"	"AT5G44785.1"	"At5g44785"	"putative organellar single-stranded DNA-binding protein (AtOSB3)"	"soluble or peripheral protein"	"0"
"2150"	"AT5G45180.1"	"At5g45180"	"putative FAD-dependent oxidoreductase (AtFMO2)"	"soluble or peripheral protein"	"0"
"2151"	"AT5G45560.1"	"At5g45560"	"protein of unknown function"	"membrane protein"	"1"
"2152"	"AT5G45590.1"	"At5g45590"	"putative L35-type protein of large ribosomal subunit"	"soluble or peripheral protein"	"0"
"2153"	"AT5G45700.1"	"At5g45700"	"putative NIF-type phosphatase-like protein"	"soluble or peripheral protein"	"0"
"2154"	"AT5G45790.1"	"At5g45790"	"putative RNA intron splicing factor"	"soluble or peripheral protein"	"0"
"2155"	"AT5G46025.1"	"At5g46025"	"putative small GTPase"	"soluble or peripheral protein"	"0"
"2156"	"AT5G46130.1"	"At5g46130"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2157"	"AT5G46160.1"	"At5g46160"	"putative component uL14M of large subunit of mitochondrial ribosome (AtmtRPL14/AtHLP)"	"soluble or peripheral protein"	"0"
"2158"	"AT5G46180.1"	"At5g46180"	"ornithine-(delta)-aminotransferase (AtOAT)"	"soluble or peripheral protein"	"0"
"2159"	"AT5G46295.1"	"At5g46295"	"protein of unknown function"	"membrane protein"	"1"
"2160"	"AT5G46460.1"	"At5g46460"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"2161"	"AT5G46800.1"	"At5g46800"	"putative mitochondrial glutamate translocator, A BOUT DE SOUFFLE (AtBOU)"	"membrane protein"	"7"
"2162"	"AT5G46920.1"	"At5g46920"	"putative type-I-maturase-like intron splicing factor (AtnMat2)"	"soluble or peripheral protein"	"0"
"2163"	"AT5G47030.1"	"At5g47030"	"delta' subunit of mitochondrial ATP synthase peripheral MF1 subcomplex (AtmtATP-delta')"	"soluble or peripheral protein"	"0"
"2164"	"AT5G47320.1"	"At5g47320"	"putative component uS19M of small subunit of mitochondrial ribosome (AtmtRPS19)"	"soluble or peripheral protein"	"0"
"2165"	"AT5G47360.1"	"At5g47360"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"2166"	"AT5G47435.1"	"At5g47435"	"putative 10-formyl tetrahydrofolate deformylase (AtPURU1)"	"soluble or peripheral protein"	"0"
"2167"	"AT5G47455.1"	"At5g47455"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2168"	"AT5G47460.1"	"At5g47460"	"protein of unknown function, contains pentatricopeptide (PPR) repeat"	"membrane protein"	"5"
"2169"	"AT5G47570.1"	"At5g47570"	"putative component ASHI/NDUFB8 of NADH dehydrogenase beta subcomplex (AtASHI)"	"membrane protein"	"1"
"2170"	"AT5G47630.1"	"At5g47630"	"mitochondrial acyl carrier protein (AtmtACP3)"	"soluble or peripheral protein"	"0"
"2171"	"AT5G47890.1"	"At5g47890"	"putative component B8 of NADH dehydrogenase alpha subcomplex (AtNDUFA2/AtB8)"	"soluble or peripheral protein"	"0"
"2172"	"AT5G47920.1"	"At5g47920"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2173"	"AT5G48030.1"	"At5g48030"	"putative Hsp40/DnaJ molecular co-chaperone, GAMETOPHYTIC FACTOR (AtDjA3/AtGFA2)"	"soluble or peripheral protein"	"0"
"2174"	"AT5G48040.1"	"At5g48040"	"putative RNA intron splicing factor"	"soluble or peripheral protein"	"0"
"2175"	"AT5G48330.1"	"At5g48330"	"protein of unknown function, contains RCC1 domain"	"soluble or peripheral protein"	"0"
"2176"	"AT5G48530.1"	"At5g48530"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2177"	"AT5G48550.1"	"At5g48550"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"2178"	"AT5G48970.1"	"At5g48970"	"putative thiamin diphosphate carrier (AtTPC2)"	"membrane protein"	"6"
"2179"	"AT5G49015.1"	"At5g49015"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2180"	"AT5G49210.1"	"At5g49210"	"putative component mRPX of mitochondrial ribosome (AtmRPX)"	"soluble or peripheral protein"	"0"
"2181"	"AT5G49334.1"	"At5g49334"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2182"	"AT5G49555.1"	"At5g49555"	"putative FAD-dependent oxidoreductase"	"soluble or peripheral protein"	"0"
"2183"	"AT5G49840.1"	"At5g49840"	"putative regulatory component of Clp-type protease (AtClpX2)"	"soluble or peripheral protein"	"0"
"2184"	"AT5G49960.1"	"At5g49960"	"putative Pollux/Castor-type voltage-gated ion channel (AtPollux/AtDMI1)"	"membrane protein"	"5"
"2185"	"AT5G50011.1"	"At5g50011"	"hypothetical peptide of unknown function"	"soluble or peripheral protein"	"0"
"2186"	"AT5G50100.1"	"At5g50100"	"putative thioredoxin (AtDCC1)"	"soluble or peripheral protein"	"0"
"2187"	"AT5G50110.1"	"At5g50110"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2188"	"AT5G50130.1"	"At5g50130"	"putative NAD/NADP-dependent oxidoreductase"	"soluble or peripheral protein"	"0"
"2189"	"AT5G50340.1"	"At5g50340"	"putative (eubacterial RadA)-like helicase involved in homologous recombination"	"soluble or peripheral protein"	"0"
"2190"	"AT5G50370.1"	"At5g50370"	"putative adenylate kinase (AtAMK3)"	"soluble or peripheral protein"	"0"
"2191"	"AT5G50810.1"	"At5g50810"	"mitochondrial inner membrane translocase component (AtTIM8)"	"membrane protein"	"0"
